FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1147,CHN41555,pi____,pi,36297.008500600000843,30107900.763199999928474
1148,CHN41561,smpycl,sm,76947.349224000005051,43497734.494400002062321
1149,CHN41566,pb____,pb,11371.837903999999980,4803303.387719999998808
1150,CHN41570,ssmxvr,ss,73801.719091000006301,125299996.341999992728233
1151,CHN41584,pa____,pa,74354.765196499996819,225173832.367000013589859
1152,CHN41586,pa____,pa,10893.375835099999676,6252566.585880000144243
1153,CHN41587,scshvr,sc,30243.890489400000661,33168976.274799998849630
1154,CHN41592,smmxvr,sm,26163.715294699999504,20272941.856499999761581
1155,CHN41596,pa____,pa,28056.514788000000408,42210698.911300003528595
1156,CHN41599,smmx__,sm,15611.041946999999709,10739179.599400000646710
1157,CHN41606,pa____,pa,16205.728384899999583,17711599.529599998146296
1158,CHN41608,smmx__,sm,150581.954155000013998,493028580.605000019073486
1159,CHN41610,ssmxvr,ss,10653.617600899999161,6900769.429689999669790
1160,CHN41621,pb____,pb,185913.378717000014149,282386506.644999980926514
1161,CHN41627,ssmxvr,ss,24637.315834599998198,10539944.233500000089407
1162,CHN41637,ssmx__,ss,22629.103377600000385,21375196.234200000762939
1163,CHN41639,pb____,pb,5825.097282810000252,2582306.730820000171661
1164,CHN41647,ssshmt,ss,182200.436333999998169,380700874.324999988079071
1165,CHN41659,ig____,ig,182757.169208000006620,290198535.939999997615814
1166,CHN41663,ssmxvr,ss,29565.336622399998305,19378960.694099999964237
1167,CHN41678,pa____,pa,40209.202920800002175,23199942.385200001299381
1168,CHN41682,pa____,pa,629598.206805999972858,5902356803.350000381469727
1169,CHN41683,smpycl,sm,8290.259695229999124,3626158.201710000168532
1170,CHN41696,smmxvr,sm,19059.869293499999912,7514922.494160000234842
1171,CHN41702,pa____,pa,255124.582701000006637,805688139.810999989509583
1172,CHN41714,smpycl,sm,13489.528965699999389,8130335.175879999995232
1173,CHN41719,pa____,pa,19382.189866900000197,16361675.316899999976158
1174,CHN41724,sumx__,su,64524.687379900002270,36633660.182400003075600
1175,CHN41726,pa____,pa,11742.764138599999569,6373935.468790000304580
1176,CHN41727,pb____,pb,64152.123056099997484,104427929.768999993801117
1177,CHN41735,pa____,pa,6452.926599340000394,2577514.425230000168085
1178,CHN41736,smmxvr,sm,12125.264216699999452,3921520.585039999801666
1179,CHN41740,sush__,su,10070.842266699999527,4149498.332799999974668
1180,CHN41749,pa____,pa,16466.398739100000967,13132187.894300000742078
1181,CHN41752,pa____,pa,9611.084585990000051,3576181.544050000142306
1182,CHN41755,pb____,pb,7989.503665979999823,1399883.348260000115260
1183,CHN41759,smssvr,sm,30340.966269199998351,28893755.219599999487400
1184,CHN41764,smmxvr,sm,9374.030662720000691,4256119.625040000304580
1185,CHN41781,sspy__,ss,234446.426666999992449,140972606.354999989271164
1186,CHN41785,scpu__,sc,16138.900936899999579,17239555.853599999099970
1187,CHN41788,scpu__,sc,20364.745008499998221,22249895.758299998939037
1188,CHN41789,ssmxvr,ss,73038.445756300003268,118826414.539000004529953
1189,CHN41791,pb____,pb,28803.300562000000355,30223598.286899998784065
1190,CHN41799,pb____,pb,79499.756629399998928,62170771.141199998557568
1191,CHN41802,pb____,pb,8283.129487349999181,4821281.406949999742210
1192,CHN41809,sspy__,ss,13257.115362500000629,4400152.646409999579191
1193,CHN41812,pb____,pb,12570.731609300000855,8217088.992069999687374
1194,CHN41817,scpu__,sc,19042.269315599998663,24817117.153200000524521
1195,CHN41820,scpu__,sc,12025.927044500000193,8280203.554309999570251
1196,CHN41825,pb____,pb,251667.188744000013685,574405762.465999960899353
1197,CHN41830,pb____,pb,18623.861855899998773,15916254.072100000455976
1198,CHN41852,pb____,pb,14582.366433099999995,12667031.043199999257922
1199,CHN41859,vb____,vb,11746.056688200000281,5037693.331070000305772
1200,CHN41863,ssmx__,ss,74403.834763999999268,107022142.435000002384186
1201,CHN41866,ssmxvr,ss,358112.175351999991108,1160490801.609999895095825
1202,CHN41869,pb____,pb,11544.219601299999340,3790355.107900000177324
1203,CHN41886,ssshmt,ss,121098.812613999994937,136156792.044999986886978
1204,CHN41938,smmx__,sm,305180.651317999989260,1276355634.140000104904175
1205,CHN41939,vb____,vb,3403.027641759999824,561305.041715999948792
1206,CHN41900,smssvr,sm,20970.795394400000077,21587897.793499998748302
1207,CHN41908,pb____,pb,21135.649913500001276,15641134.461100000888109
