,Qw(m3/s),Qs(kg/s),Qb(kg/s),CsBin1,CsBin2,CsBin3,CsBin4,vel(m/s),wid(m),dep(m),temp(deg.C),prec(m)
13155,1967.343 ,28.648 ,41.291 ,0.003,0.003,0.004,0.005 ,1.110,  1418.447,  1.250  ,19.08327, 0.00000 
13156,1916.145 ,7.610 ,40.216 ,0.001,0.001,0.001,0.001 ,1.100,  1408.756,  1.237  ,19.70605, 0.00000 
13157,1848.844 ,7.950 ,38.804 ,0.001,0.001,0.001,0.002 ,1.087,  1395.720,  1.219  ,20.38827, 0.00000 
13158,1727.913 ,5.651 ,36.266 ,0.001,0.001,0.001,0.001 ,1.062,  1371.387,  1.187  ,20.33365, 0.00049 
13159,1590.597 ,7.007 ,33.384 ,0.001,0.001,0.001,0.002 ,1.032,  1342.178,  1.148  ,20.26168, 0.00051 
13160,1457.615 ,4.907 ,30.593 ,0.001,0.001,0.001,0.001 ,1.002,  1312.053,  1.109  ,20.19148, 0.00002 
13161,1325.671 ,3.542 ,27.823 ,0.001,0.001,0.001,0.001 ,0.970,  1280.082,  1.067  ,20.06178, 0.00000 
13162,1245.960 ,2.599 ,26.150 ,0.000,0.000,0.001,0.001 ,0.950,  1259.608,  1.041  ,19.82325, 0.00000 
13163,1175.443 ,3.447 ,24.670 ,0.001,0.001,0.001,0.001 ,0.931,  1240.672,  1.017  ,19.89855, 0.00000 
13164,1112.450 ,5.024 ,23.348 ,0.001,0.001,0.001,0.002 ,0.914,  1223.031,  0.995  ,19.97120, 0.00000 
13165,1058.408 ,3.634 ,22.214 ,0.001,0.001,0.001,0.001 ,0.899,  1207.297,  0.975  ,19.89045, 0.00000 
13166,1016.344 ,3.029 ,21.331 ,0.001,0.001,0.001,0.001 ,0.887,  1194.634,  0.960  ,20.39445, 0.00000 
13167,981.619 ,4.058 ,20.602 ,0.001,0.001,0.001,0.001 ,0.876,  1183.885,  0.946  ,21.04468, 0.00000 
13168,952.755 ,1.677 ,19.997 ,0.000,0.000,0.000,0.001 ,0.867,  1174.734,  0.935  ,21.53111, 0.00000 
13169,930.634 ,2.725 ,19.532 ,0.001,0.001,0.001,0.001 ,0.860,  1167.581,  0.926  ,21.13736, 0.00000 
13170,912.103 ,1.497 ,19.143 ,0.000,0.000,0.000,0.001 ,0.855,  1161.491,  0.919  ,21.11059, 0.00000 
13171,897.340 ,1.896 ,18.834 ,0.000,0.000,0.001,0.001 ,0.850,  1156.573,  0.913  ,21.34820, 0.00000 
13172,888.745 ,1.950 ,18.653 ,0.000,0.000,0.001,0.001 ,0.847,  1153.683,  0.909  ,22.38283, 0.00002 
13173,884.540 ,1.465 ,18.565 ,0.000,0.000,0.000,0.001 ,0.846,  1152.261,  0.908  ,23.25039, 0.00071 
13174,884.182 ,2.176 ,18.557 ,0.000,0.000,0.001,0.001 ,0.846,  1152.140,  0.908  ,21.43533, 0.00002 
13175,884.165 ,2.140 ,18.557 ,0.000,0.000,0.001,0.001 ,0.846,  1152.134,  0.908  ,20.77632, 0.00000 
13176,884.149 ,1.361 ,18.557 ,0.000,0.000,0.000,0.001 ,0.846,  1152.129,  0.908  ,21.38105, 0.00000 
13177,884.132 ,1.720 ,18.556 ,0.000,0.000,0.000,0.001 ,0.846,  1152.123,  0.908  ,22.39054, 0.00001 
13178,884.851 ,1.346 ,18.571 ,0.000,0.000,0.000,0.001 ,0.846,  1152.366,  0.908  ,22.32755, 0.00022 
13179,889.636 ,1.095 ,18.672 ,0.000,0.000,0.000,0.000 ,0.847,  1153.983,  0.910  ,21.89214, 0.00056 
