FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1402,HIMAL1394,pa____,pa,26069.115615300001082,25254131.673700001090765
1403,HIMAL1410,mtpu__,mt,9331.812834140000632,3878926.873850000090897
1404,HIMAL1445,ssmx__,ss,17499.037052600000607,8442769.911250000819564
1405,HIMAL1446,smmxmt,sm,88239.711616700005834,56252004.753399997949600
1406,HIMAL1447,mtpu__,mt,113980.597364999994170,102546554.122999995946884
1407,HIMAL1448,vb____,vb,29018.617471099998511,13713339.532400000840425
1408,IND201,sumx__,su,33194921.313099998980761,835854351154.000000000000000
1409,CHN33568,sush__,su,961456.727404000004753,4180745639.900000095367432
1410,HIMAL618,smshmt,sm,1174064.805649999994785,1919032798.920000076293945
1411,HIMAL935,pa____,pa,731509.037554000038654,2354452494.610000133514404
